"Country","Period","iso3","Indicator","Region","IncomeLevel","missing_values","x","y","group"
"Belgium","2004","BEL","Cost to start a business (% of income per capita)","ECS","HIC",0.4,8.2025478225301,-30.9540696700524,"ECS"
"Belgium","2005","BEL","Cost to start a business (% of income per capita)","ECS","HIC",0.4,9.04054502967849,-31.6449539619646,"ECS"
"Belgium","2006","BEL","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.25,23.8983577766312,-25.8229718225943,"ECS"
"Belgium","2007","BEL","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.2,26.7868374008589,-31.8887492737501,"ECS"
"Belgium","2008","BEL","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.225,25.4597202527736,-27.4315877190277,"ECS"
"Belgium","2009","BEL","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.225,26.5735640522651,-26.6852075107194,"ECS"
"Belgium","2010","BEL","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.175,26.5167640956098,-31.6425767490301,"ECS"
"Belgium","2011","BEL","# of enterprise exits","ECS","HIC",0.175,27.0806766627898,-27.5404025008172,"ECS"
"Belgium","2012","BEL","# of enterprise exits","ECS","HIC",0.125,25.7160118372544,-30.2220466141394,"ECS"
"Belgium","2013","BEL","# of enterprise exits","ECS","HIC",0.175,-3.9926632743699,-42.941271554208,"ECS"
"Belgium","2014","BEL","# of enterprise exits","ECS","HIC",0.225,25.5147939458885,-29.7502822319824,"ECS"
"Belgium","2015","BEL","# of enterprise exits","ECS","HIC",0.275,-3.88556799267607,-43.4491654623182,"ECS"
"Bosnia and Herzegovina","2001","BIH","Current account balance","ECS","UMC",0.675,40.8239764198749,38.5038286324932,"ECS"
"Bosnia and Herzegovina","2002","BIH","Current account balance","ECS","UMC",0.7,40.5167186929766,39.3146461878862,"ECS"
"Bosnia and Herzegovina","2003","BIH","Current account balance","ECS","UMC",0.675,40.9041235237676,38.993065350874,"ECS"
"Bosnia and Herzegovina","2004","BIH","Cost to start a business (% of income per capita)","ECS","UMC",0.625,40.6633711025461,40.3847898474491,"ECS"
"Bosnia and Herzegovina","2005","BIH","Cost to start a business (% of income per capita)","ECS","UMC",0.625,41.8330575068316,40.271918145974,"ECS"
"Bosnia and Herzegovina","2006","BIH","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.425,41.2887699929593,39.8547915806166,"ECS"
"Bosnia and Herzegovina","2007","BIH","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.325,36.981907723057,35.1402228716324,"ECS"
"Bosnia and Herzegovina","2008","BIH","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,36.8903728554788,35.5388173927951,"ECS"
"Bosnia and Herzegovina","2009","BIH","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.275,36.771700005434,35.8456624166223,"ECS"
"Bosnia and Herzegovina","2010","BIH","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.275,34.9398521030355,36.0132748670219,"ECS"
"Bosnia and Herzegovina","2011","BIH","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,33.9607987003229,36.878061336688,"ECS"
"Bosnia and Herzegovina","2012","BIH","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.225,33.346929842863,37.4007175342489,"ECS"
"Bosnia and Herzegovina","2013","BIH","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.225,32.6535941187458,36.4766626112227,"ECS"
"Bosnia and Herzegovina","2014","BIH","Cost to start a business (% of income per capita)","ECS","UMC",0.475,40.9425675166704,36.9866256130854,"ECS"
"Bosnia and Herzegovina","2015","BIH","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.5,-24.5305026262253,-1.79708226390347,"ECS"
"Brunei Darussalam","2001","BRN","Current account balance","EAS","HIC",0.675,-9.5124912108198,-20.4739678882018,"EAS"
"Brunei Darussalam","2002","BRN","Current account balance","EAS","HIC",0.65,14.3510122281095,-9.86172607624937,"EAS"
"Brunei Darussalam","2003","BRN","Current account balance","EAS","HIC",0.65,14.0015851659119,-9.38054896248841,"EAS"
"Brunei Darussalam","2004","BRN","Current account balance","EAS","HIC",0.625,13.9236165200768,-10.4782068711919,"EAS"
"Brunei Darussalam","2005","BRN","Current account balance","EAS","HIC",0.65,-5.08398697620993,-23.0182002735998,"EAS"
"Brunei Darussalam","2006","BRN","Current account balance","EAS","HIC",0.625,-5.27029393425568,-22.1538045560962,"EAS"
"Brunei Darussalam","2007","BRN","Cost to start a business (% of income per capita)","EAS","HIC",0.55,-1.96260329412857,-23.7713481745284,"EAS"
"Brunei Darussalam","2008","BRN","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.4,-27.4642791230652,-13.8956928594005,"EAS"
"Brunei Darussalam","2009","BRN","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.425,-28.7115591389278,-12.5232115211001,"EAS"
"Brunei Darussalam","2010","BRN","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.375,-28.9327274587786,-12.463106209833,"EAS"
"Brunei Darussalam","2011","BRN","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.375,-28.7989152086981,-13.9231343271602,"EAS"
"Brunei Darussalam","2012","BRN","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.35,-27.4866069203983,-11.9778369351274,"EAS"
"Brunei Darussalam","2013","BRN","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.35,-26.5156082379665,-13.4266926266119,"EAS"
"Brunei Darussalam","2014","BRN","Cost to start a business (% of income per capita)","EAS","HIC",0.575,-2.4150861986952,-22.9067761564393,"EAS"
"Brunei Darussalam","2015","BRN","Cost to export: Border compliance (USD)","EAS","HIC",0.675,-14.6463066181802,-44.6805261600452,"EAS"
"Bulgaria","2001","BGR","Current account balance","ECS","UMC",0.55,18.5528220108345,2.80622038529199,"ECS"
"Bulgaria","2002","BGR","Current account balance","ECS","UMC",0.55,18.7396933894091,2.88908284540638,"ECS"
"Bulgaria","2003","BGR","Current account balance","ECS","UMC",0.525,18.4722529219351,3.19954008962359,"ECS"
"Bulgaria","2004","BGR","Cost to start a business (% of income per capita)","ECS","UMC",0.425,3.25889444629609,-12.25005303041,"ECS"
"Bulgaria","2005","BGR","Cost to start a business (% of income per capita)","ECS","UMC",0.425,4.88381218393562,-10.8798969526963,"ECS"
"Bulgaria","2006","BGR","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.275,22.8453523447626,-7.1419534540296,"ECS"
"Bulgaria","2007","BGR","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.2,21.5818223436263,-7.10416408649893,"ECS"
"Bulgaria","2008","BGR","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.25,21.3382493680621,-9.08437688592882,"ECS"
"Bulgaria","2009","BGR","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.225,21.1047201745157,-10.4369873916298,"ECS"
"Bulgaria","2010","BGR","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.2,27.169464816112,-5.2554359778869,"ECS"
"Bulgaria","2011","BGR","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.225,28.0667146704383,-3.92582316752296,"ECS"
"Bulgaria","2012","BGR","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.175,27.315794720914,-5.18964536249771,"ECS"
"Bulgaria","2013","BGR","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.175,30.5970289628983,32.3828614883903,"ECS"
"Bulgaria","2014","BGR","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.25,29.1174288099367,-4.92964904427578,"ECS"
"Bulgaria","2015","BGR","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,-23.4871808951384,-4.22986136682039,"ECS"
"Cambodia","2001","KHM","Current account balance","EAS","LMC",0.625,12.6344577087483,21.5123538370282,"EAS"
"Cambodia","2002","KHM","Current account balance","EAS","LMC",0.6,15.9493037996999,-0.299657121343709,"EAS"
"Cambodia","2003","KHM","Current account balance","EAS","LMC",0.6,13.13917510008,22.0651926203535,"EAS"
"Cambodia","2004","KHM","Cost to start a business (% of income per capita)","EAS","LMC",0.525,-16.1695397797808,13.2088579811592,"EAS"
"Cambodia","2005","KHM","Cost to start a business (% of income per capita)","EAS","LMC",0.5,-17.1914918346131,11.8652349680434,"EAS"
"Cambodia","2006","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.375,-11.4111063191891,24.2113522047124,"EAS"
"Cambodia","2007","KHM","% of firms identifying business licensing and permits as the biggest obstacle","EAS","LMC",0.275,-12.0450359430805,25.1846550404289,"EAS"
"Cambodia","2008","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.325,-10.9611220279959,25.4796131745096,"EAS"
"Cambodia","2009","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.35,-12.9086748088247,24.6892768709791,"EAS"
"Cambodia","2010","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.325,-20.6483929136188,1.0976233936393,"EAS"
"Cambodia","2011","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.35,-22.0994254293409,0.860853792783678,"EAS"
"Cambodia","2012","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.325,-20.940156877016,0.051496433118369,"EAS"
"Cambodia","2013","KHM","% of firms identifying business licensing and permits as the biggest obstacle","EAS","LMC",0.35,-20.8047656691594,0.560662272605477,"EAS"
"Cambodia","2014","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.35,-22.6682716489191,-0.482224177575377,"EAS"
"Cambodia","2015","KHM","Availability of scientists and engineers, 1-7 (best)","EAS","LMC",0.35,-22.8791051334485,0.201115339791117,"EAS"
"Channel Islands","2001","CHI","GDP growth (annual %)","ECS","HIC",0.95,-23.8521674410027,-40.8520546371917,"ECS"
"Channel Islands","2002","CHI","GDP growth (annual %)","ECS","HIC",0.95,-22.8241142524908,-42.1242882948578,"ECS"
"Channel Islands","2003","CHI","GDP growth (annual %)","ECS","HIC",0.95,-22.8310937241928,-43.4032810702461,"ECS"
"Channel Islands","2004","CHI","GDP growth (annual %)","ECS","HIC",0.95,-23.8785028180052,-44.7093892690448,"ECS"
"Channel Islands","2005","CHI","GDP growth (annual %)","ECS","HIC",0.95,-23.7451790676468,-44.9345765972862,"ECS"
"Channel Islands","2006","CHI","GDP growth (annual %)","ECS","HIC",0.95,-23.4982213962082,-45.7664615231922,"ECS"
"Channel Islands","2007","CHI","GDP growth (annual %)","ECS","HIC",0.95,-25.1154095096802,-46.4463027287088,"ECS"
"China","2001","CHN","Current account balance","EAS","UMC",0.55,14.6952253402111,13.2876007459742,"EAS"
"China","2002","CHN","Current account balance","EAS","UMC",0.55,-15.923025024442,-11.743773040612,"EAS"
"China","2003","CHN","Current account balance","EAS","UMC",0.5,-16.1740237050871,-13.1981093338895,"EAS"
"China","2004","CHN","Current account balance","EAS","UMC",0.5,50.2499324079847,-25.7948513850882,"EAS"
"China","2005","CHN","Current account balance","EAS","UMC",0.475,49.1574635607057,-26.6731232884829,"EAS"
"China","2006","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.35,49.6625840496005,-25.9713642315339,"EAS"
"China","2007","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.3,50.667406059792,-26.1660404421774,"EAS"
"China","2008","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.35,51.5702899187977,-27.1734324235698,"EAS"
"China","2009","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.325,51.8175480784161,-24.9436364285809,"EAS"
"China","2010","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.325,51.5420691850844,-24.7494346826654,"EAS"
"China","2011","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.35,51.9066161925829,-26.1349063300454,"EAS"
"China","2012","CHN","% of firms identifying business licensing and permits as the biggest obstacle","EAS","UMC",0.25,52.5337184283665,-24.3567975507174,"EAS"
"China","2013","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.375,53.470512025002,-25.2628075498493,"EAS"
"China","2014","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.275,42.4485076588377,-38.4136003818289,"EAS"
"China","2015","CHN","Availability of scientists and engineers, 1-7 (best)","EAS","UMC",0.3,41.4328130749731,-38.5091711112131,"EAS"
