"id","name","dataset","valueType","datasetId","notes","properties","rank","definition"
2337,"Gross imports, intermediate products","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",5,NA
2338,"Gross trade, balance","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"The gross trade balance is given for each country and partner combination. BALGRc,p=EXGRc,p_IMGRc,p"
2342,"Domestic value added embodied in foreign final demand","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",3,"FFD_DVAc,p=(L B FD)c,p. FFD_DVAc,p is a K x 1 vector. Matrix L B F D is of size (KN x K) and calculated from multiplying the three global matrices L, the diagonalized value added share of production PROD_VASH, __ the global Leontief inverse and ____ the global final demand matrix showing the demand of country p (in column) for goods and services from industry i in country c (rows), and (L B FD)c,p is the part of the matrix with K rows (one for each industry) corresponding to country c and column corresponding to country p. This is only available for _____. FFD_DVA is available by value added country, value added industry, and partner country. FFD_DVAc,p,i is the i-th element of the K x 1 vector FFD_DVAc,p"
2343,"Foreign value added embodied in domestic final demand","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"DFD_FVAc,p = (L B F D)p,c  DFD_FVAc,p is the part of matrix L B FD with rows corresponding to country p's industries and column c of domestic consumption. This is only available for p_c. DFD_FVApSH is available by country, partner country (where the value is added) and value added industry in the partner country. DFD_FVAc,p,i is the i-th element of the K x 1 vector DFD_FVAc,p"
2344,"Value added embodied in final demand, balance","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"The balance is calculated as the difference between domestic value added embodied in foreign final demand and foreign value added in domestic final demand by value added origin industry."
2345,"Final demand, value added content","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"FD_VA (c,p,i), reveals which source countries p and source industries i are ultimately meeting final demand in country c. Source country includes country c's domestic value added."
2346,"Total consumption, value added by content, by source country & industry","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Value added content of total consumption, by origin (CONS_VA) reveals who is ultimately meeting demand for consumption goods and services in country c. Total consumption covers household consumption, government expenditure and NPISHs. It excludes direct purchases abroad by residents. It is a subset of FDVA."
2347,"Gross fixed capital formation, value added content, by source country & industry","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",5,NA
2352,"Domestic value added embodied in exports of intermediates, partner shares","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Partner shares of domestic value added in intermediate exports (EXGR_INTDVApSH) in %."
2353,"Gross exports, partner shares","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"The partner shares are calculated for each country, industry and partner country by dividing by total exports of the industry and country. The industry is the exporting industry."
2354,"Domestic value added embodied in gross exports, partner shares","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Domestic value added content of gross exports includes the value added generated by the exporting industry during its production processes as well as any value added coming from upstream domestic suppliers that is embodied in the exports."
2360,"Gross imports, partner shares","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"The partner shares are calculated for each country, industry and partner country by dividing by total imports of the industry and country. The industry refers to the exporting industry (i.e. from country c's perspective, the industry of origin of the imports)."
2361,"Domestic value added in foreign final demand, partner shares","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"FFD_DVApSHc,p,I = [(FFD_DVAc,p,i) / (_p FFD_DVAc,p,i)] X 100. FFD_DVApSH is available by country and industry origin of value added and final demand partner country."
2362,"Foreign value added in domestic final demand, partner shares","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"DFD_FVApSHc,p,i = [(DFD_FVAc,p,i) / (_p DFD_FVAc,p,i)] X 100.  DFD_FVApSH is available by country and, partner country and industry origin of value added."
2365,"Value added share of total final demand, by source country & industry","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Value added (in industry i of country p) in final demand FD of country c is defined as the K x 1 vectors (representing the K industries). FD_VAc,p=(L B FD)p,c"
2366,"Value added share of total consumption, by source country & industry","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Value added (in industry i of country p) in consumption (CONS) of country c is defined as the K x 1 vectors (representing the K industries). CONS_VAc,p= (L B CONS)p,c"
2367,"Value added share of gross fixed capital formation, by source country & industry","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Value added (in industry i of country p) ingross fixed capital formation (GFCF) of country c is defined as the K x 1 vectors (representing the K industries). GFCF_VAc,p= (L B GFCF)p,c"
2797,"Bilateral concentration indices of merchandise imports","United Nations Conference on Trade and Development Statistics","number_of_products",19,"","Annual, 1995-2014. ~235 countries plus regional/income groups",4,"This table provides information on the number of exported/imported products and concentration indices by country. The concentration index shows how exports and imports of individual countries or group of countries are concentrated on several products or otherwise distributed in a more homogeneous manner among a series of products."
2798,"Bilateral concentration indices of merchandise imports","United Nations Conference on Trade and Development Statistics","concentration_index",19,"","Annual, 1995-2014. ~235 countries plus regional/income groups",4,"This table provides information on the number of exported/imported products and concentration indices by country. The concentration index shows how exports and imports of individual countries or group of countries are concentrated on several products or otherwise distributed in a more homogeneous manner among a series of products."
2799,"Bilateral concentration indices of merchandise exports","United Nations Conference on Trade and Development Statistics","concentration_index",19,"","Annual, 1995-2014. ~235 countries plus regional/income groups",4,"This table provides information on the number of exported/imported products and concentration indices by country. The concentration index shows how exports and imports of individual countries or group of countries are concentrated on several products or otherwise distributed in a more homogeneous manner among a series of products."
2800,"Bilateral concentration indices of merchandise exports","United Nations Conference on Trade and Development Statistics","number_of_products",19,"","Annual, 1995-2014. ~235 countries plus regional/income groups",4,"This table provides information on the number of exported/imported products and concentration indices by country. The concentration index shows how exports and imports of individual countries or group of countries are concentrated on several products or otherwise distributed in a more homogeneous manner among a series of products."
2801,"Bilateral trade flows by ICT goods and categories (imports)","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2000-2014. ~240 economies, plus regional/income groups",4,"Bilateral trade flows by ICT goods categories"
2802,"Bilateral trade flows by ICT goods and categories (re-exports)","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2000-2014. ~240 economies, plus regional/income groups",4,"Bilateral trade flows by ICT goods categories"
2803,"Bilateral trade flows by ICT goods and categories (re-imports)","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2000-2014. ~240 economies, plus regional/income groups",4,"Bilateral trade flows by ICT goods categories"
2804,"Bilateral trade flows by ICT goods and categories (exports)","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2000-2014. ~240 economies, plus regional/income groups",4,"Bilateral trade flows by ICT goods categories"
3056,"Similarity in merchandise trade structures of imports","United Nations Conference on Trade and Development Statistics","value",19,"","1995-2013. ~235 countries plus regional/income groupings",4,"This table provides the index of similarity by Grubel-Lloyd (1975), an indicator that helps to determine whether the trade structures of two economies are similar or not. The index of similarity signals whether the structure of exports or imports by product of a given country or group of countries differs from that of its counterpart country or group of countries. The index is calculated at the three-digit level of the SITC Revision 3 and ranges from 0 to 1. Value closer to 1 reveals the greater similarity of the trade structure between two countries or two groups of countries."
3057,"Similarity in merchandise trade structures of exports","United Nations Conference on Trade and Development Statistics","value",19,"","1995-2013. ~235 countries plus regional/income groupings",4,"This table provides the index of similarity by Grubel-Lloyd (1975), an indicator that helps to determine whether the trade structures of two economies are similar or not. The index of similarity signals whether the structure of exports or imports by product of a given country or group of countries differs from that of its counterpart country or group of countries. The index is calculated at the three-digit level of the SITC Revision 3 and ranges from 0 to 1. Value closer to 1 reveals the greater similarity of the trade structure between two countries or two groups of countries."
3088,"Merchandise trade correlation index","United Nations Conference on Trade and Development Statistics","value",19,"","Annual, 1995-2012. ~235 countries plus regional/income groups",4,"This table presents merchandise trade correlation index which is used to measure similarity of trade specialization index between economies. High similarity then can be considered that those economies compete in other in both exports and imports. Trade correlation index is a simple correlation coefficient between economy A and economy B’s trade specialization index. The resulting coefficient can take a value from -1 to 1. A positive value indicates that the economies are competitors in global market since both countries are net exporters of the same set of products."
2848,"Goods and services (BPM6): Imports of goods and services","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2005-2014. ~240 countries, plus regional/income groups",4,"This table is a compilation of statistics of trade in goods and services as reported in the Balance of Payments. Exports and imports of goods and services are credits and debits of goods and services as reported in the current account of the balance of payments. Goods include general merchandise, goods used for processing other goods, and non-monetary gold. In order for a transaction to be recorded under ""goods"", a change of ownership from/to a resident of a local country to/from a non-resident in a foreign country has to take place. "
1548,"Listed domestic companies, total","World Development Indicators","value",40,NA,NA,5,"Listed domestic companies, including foreign companies which are exclusively listed, are those which have shares listed on an exchange at the end of the year. Investment funds, unit trusts, and companies whose only business goal is to hold shares of other listed companies, such as holding companies and investment companies, regardless of their legal status, are excluded. A company with several classes of shares is counted once. Only companies admitted to listing on the exchange are included. Sum. Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization)."
251,"If a generator is used, avg % of electricity from a generator","Enterprise Surveys","value",8,NA,"135 countries; survey date ranges from 2007-2014 for individual countries",4,"If a generator is used, what percentage of electricity comes from a generator"
3145,"Cost to register a new fertilizer","Enabling the Business of Agriculture","usd",24,NA,"Data collected 2014-2015; one value per indicator. 40 countries.",5,"Laws and regulations related to the registration, import, and quality control of fertilizer products. They address factors important to companies importing and selling fertilizer products, farmers using quality fertilizer products to increase their productivity, and governments pursuing regulations that ensure the quality of products and effectiveness of fertilizer markets."
3028,"Services: Exports by service-category, shares and growth","United Nations Conference on Trade and Development Statistics","percentage_change_year_on_year",19,"","Annual, 2005-2014. ~220 economies, plus regional/income groups",4,"This table presents annual statistics on international trade in services by principal service categories. The figures are expressed in millions of dollars and as percentages of the world total. In addition, the annual percentage changes and the shares of each category in total services of an economy are shown."
2918,"Goods and services (BPM6): Trade openness indicators, average of imports and exports, goods","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2005-2014. ~235 countries plus regional/income groups",4,"This table shows exports, imports and sum/average of exports and imports as percentage of nominal gross domestic product (GDP). The indicators are calculated for trade in goods, trade in services and total trade in goods and services. The average of imports and exports, which indicates roughly the size of international trade, is the sum of imports and exports divided by two."
2409,"GATS trade in services commitments (by member/sector): Educational Services - Other education services","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Information on the Members' market access commitments and exemptions to the obligation of most-favoured-nation (MFN). In this database, the schedule of specific commitments of the European Union covers the commitments of the 12 original Members States, except for commitments in the sectors of telecommunication and financial services, as well as for mode 4, which cover 15 Member States (i.e., the original 12 plus Sweden, Finland and Austria).  A consolidated schedule that covers 25 Member States was certified on 18 December 2006.  This consolidated schedule can be accessed through the WTO's 'documents online' page;  it is contained in documents S/C/W/273 and S/C/W/273/Suppl.1.  However, this new schedule of commitments had not yet entered into force and is therefore not included into the database. "
264,"# of permanent non-production workers","Enterprise Surveys","value",8,"This indicator is computed using data from manufacturing firms only.","135 countries; survey date ranges from 2007-2014 for individual countries",4,"Average number of non production workers."
2941,"ICT use in business by location type: proportion of urban businesses using computers","United Nations Conference on Trade and Development Statistics","value",19,"","Annual, 2003-2014. 19 economies",5,"Core indicators on the use of ICT in business differentiated by urban - rural location"
2847,"Goods and services (BPM6): Exports of services","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2005-2014. ~240 countries, plus regional/income groups",4,"This table is a compilation of statistics of trade in goods and services as reported in the Balance of Payments. Exports and imports of goods and services are credits and debits of goods and services as reported in the current account of the balance of payments. Goods include general merchandise, goods used for processing other goods, and non-monetary gold. In order for a transaction to be recorded under ""goods"", a change of ownership from/to a resident of a local country to/from a non-resident in a foreign country has to take place. "
3081,"Effectively applied import tariff rates on non-agricultural and non-fuel products","United Nations Conference on Trade and Development Statistics","number_of_international_peaks",19,"","Annual, 1988-2014. 238 markets",4,"This table presents MFN (Most Favoured Nation) and effectively applied import tariff rates for major categories of non-agricultural and non-fuel products by individual country (as market economy) and economic grouping (as origin), expressed in various aggregation measures. Average tariff of a market country for an origin group (except for world) is calculated by taking those products (at HS 6-digit level) that are imported by the market country from each country included in the origin group. i.e., tariff rates for those products that are not traded are not included in the calculation."
3041,"Services: Exports of total services, value, shares and growth","United Nations Conference on Trade and Development Statistics","percentage_of_world",19,"","Annual, 1980-2013. ~240 countries, plus regional/income groups",4,"This table presents annual statistics on total international trade in services by individual country, geographical region and economic grouping, expressed in millions of dollars. Percentages of the world total and the annual percentage changes are also indicated. International trade in total commercial services is included as a memo item."
2961,"ICT use in business by location type: proportion of urban businesses using the Internet for telephoning over the Internet/VoIP, or using videoconferencing","United Nations Conference on Trade and Development Statistics","value",19,"","Annual, 2003-2014. 19 economies",5,"Core indicators on the use of ICT in business differentiated by urban - rural location"
2415,"GATS trade in services commitments (by member/sector): Financial Services - Banking and other financial services (excl. insurance)","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Information on the Members' market access commitments and exemptions to the obligation of most-favoured-nation (MFN). In this database, the schedule of specific commitments of the European Union covers the commitments of the 12 original Members States, except for commitments in the sectors of telecommunication and financial services, as well as for mode 4, which cover 15 Member States (i.e., the original 12 plus Sweden, Finland and Austria).  A consolidated schedule that covers 25 Member States was certified on 18 December 2006.  This consolidated schedule can be accessed through the WTO's 'documents online' page;  it is contained in documents S/C/W/273 and S/C/W/273/Suppl.1.  However, this new schedule of commitments had not yet entered into force and is therefore not included into the database. "
496,"GDP (PPP) as % of world total","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"Gross domestic product based on purchasing power parity as a percentage of world GDP"
455,"Extent of corporate transparency index (0-10)","Doing Business","value",36,NA,"For 2015/16 reports: 189 countries, 10 subject sub-rankings, 1 overall ranking. Earlier reports going back to 2004 have varying sub indicators and methodologies; may not be comparable",3,"Corporate transparency on ownership stakes, compensation, audits and financial prospects"
2306,"Safeguard trade restrictions (in force)","I-TIP Goods","stc",1,"No bulk download; queriable table only. Measures are dated by initiated/entered into force/withdrawn.","Data updated continuously per notifications to WTO. 162 countries (WTO members).",4,"Safeguards measures. In I-TIP, it refers to the measures taken under GATT agreement on safeguards, and in particular, on the information notified under the Article 12 of that agreement. Data is sourced from regular SG notifications, as per WTO - Safeguards database, and is updated continuously."
630,"Buyer sophistication, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, how do buyers make purchasing decisions? [1 = based solely on the lowest price; 7 = based on a sophisticated analysis of performance attributes]"
1532,"Consumer price index (2010 = 100)","World Development Indicators","value",40,NA,NA,4,"Consumer price index reflects changes in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used. Data are period averages. Consumer price indexes should be interpreted with caution."
209,"Does legislation explicitly criminalize marital rape?","Women, Business and the Law","value",42,"","",5,NA
276,"Annual employment growth (%)","Enterprise Surveys","value",8,NA,"135 countries; survey date ranges from 2007-2014 for individual countries",4,"Annualized growth of permanent full-time workers expressed as a percentage. Annual employment growth is the change in full-time employment reported in the current fiscal year from a previous period. For most countries the difference between the two fiscal year periods is two years. However, for some countries the interval is three years. Hence, an annualized measure is used. The formula is (1/t)*(l1-l2)/[(l1+l2)/2] where t is the number of years between the current and previous periods."
606,"Gov't procurement of advanced tech products, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",5,"In your country, to what extent do government purchasing decisions foster innovation? [1 = not at all; 7 = to a great extent]"
3290,"Resolving Insolvency","Doing Business","dtf",36,NA,"For 2015/16 reports: 189 countries, 10 subject sub-rankings, 1 overall ranking. Earlier reports going back to 2004 have varying sub indicators and methodologies; may not be comparable",3,"This indicator identifies weaknesses in existing insolvency law and the main procedural and administrative bottlenecks in the insolvency process."
599,"Quality of scientific research institutions, 1-7 (best)","World Economic Forum Global Competitiveness Index","value",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, how would you assess the quality of scientific research institutions? [1 = extremely poor-among the worst in the world; 7 = extremely good-among the best in the world]"
2737,"Values and shares of creative goods, exports","United Nations Conference on Trade and Development Statistics","percentage_of_world",19,"","Annual, 2003-2012.  ~240 economies, plus regional/income groups",4,"Exports of creative goods by individual country, geographical region and economic grouping, expressed in millions of dollars and broken down by individual trading partner or trading group. Furthermore, data are presented also as percentage of world (both as economy and trading partner), total products, and region. "
3095,"Governmental support and policies","Global Entrepreneurship Monitor National Expert Survey","value",20,"","Annual, 2007-2015. 69 countries.",5,"The extent to which public policies support entrepreneurship - entrepreneurship as a relevant economic issue"
3071,"MFN import tariff rates on non-agricultural and non-fuel products","United Nations Conference on Trade and Development Statistics","number_of_50_to_100_tariff_lines",19,"","Annual, 1988-2014. 238 markets",4,"This table presents MFN (Most Favoured Nation) and effectively applied import tariff rates for major categories of non-agricultural and non-fuel products by individual country (as market economy) and economic grouping (as origin), expressed in various aggregation measures. Average tariff of a market country for an origin group (except for world) is calculated by taking those products (at HS 6-digit level) that are imported by the market country from each country included in the origin group. i.e., tariff rates for those products that are not traded are not included in the calculation."
756,"Monetary freedom score","Heritage Index of Economic Freedom","value",15,"2016 data in bulk download. 1995-2015 data via searchable online portal; would need to search for all countries for each individual year and export that year's data","1995-2016; 186 countries total, but data gaps increase in earlier years. At least some data for every country 2013-2016",5,"Monetary freedom combines a measure of price stability with an assessment of price controls. Both inflation and price controls distort market activity. Price stability without microeconomic intervention is the ideal state for the free market."
1124,"Total reserves (includes gold, current US$)","World Development Indicators","value",40,NA,NA,3,"Total reserves comprise holdings of monetary gold, special drawing rights, reserves of IMF members held by the IMF, and holdings of foreign exchange under the control of monetary authorities. The gold component of these reserves is valued at year-end (December 31) London prices. Data are in current U.S. dollars. Discrepancies may arise in the balance of payments because there is no single source for balance of payments data and therefore no way to ensure that the data are fully consistent."
3001,"Merchandise: Concentration and diversification indices of exports by country","United Nations Conference on Trade and Development Statistics","diversification_index",19,"","Annual, 1995-2014. ~235 countries plus regional/income groups",4,"This table presents product concentration and diversification indices.  The diversification index indicates whether the structure of exports or imports by product of a given country or country group differs from the world pattern. The product concentration index shows how exports and imports of individual countries or country groupings are concentrated on a few products or otherwise distributed in a more homogeneous manner among a series of products."
3239,"Number of employees (thousands)","World Input Output Database","value",27,"","32 countries + the EU. 1990-2013.",5,"Number of employees (thousands)"
3205,"Conduct consultation","Citizen Engagement in Rulemaking","value",41,"","185 countries. Data collection is ongoing.",5,"This index captures whether regulators publicly request comments on proposed regulations."
2769,"% of firms identifying practices of the informal sector as the biggest obstacle","Enterprise Surveys","value",8,NA,"",3,""
3204,"Publication of proposed text","Citizen Engagement in Rulemaking","value",41,"","185 countries. Data collection is ongoing.",5,"This index captures whether regulators publish the text of proposed regulations before their enactment."
2442,"Regional Trade Agreement (RTA) trade in services commitments: Business Services - Research and Development Services","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",4,"Members' commitments in regional trade agreements notified under Article V of the GATS. Additional notified agreements will be added over forthcoming months. When accessing information on services commitments in regional trade agreements, users need to keep in mind that, in general, the scope and content of services RTAs can differ from GATS in a number of respects, just as the scope and content of services disciplines also differ from one RTA to the other. "
151,"What is the length of unpaid parental leave?","Women, Business and the Law","value",42,"","",5,NA
3195,"Transport Score","Enabling the Business of Agriculture","value",24,NA,"Data collected 2014-2015; one value per indicator. 40 countries.",5,"Laws and regulations that affect the provision of commercial road transport services. The indicators address factors that could potentially benefit farmers and agribusinesses through more competitive and better regulated services that enable the transport of agricultural products to the market. (0-100)"
921,"External balance on goods and services (% of GDP)","World Development Indicators","value",40,NA,NA,4,"External balance on goods and services (formerly resource balance) equals exports of goods and services minus imports of goods and services (previously nonfactor services). Weighted average."
253,"% of firms identifying electricity as a major constraint","Enterprise Surveys","value",8,NA,"135 countries; survey date ranges from 2007-2014 for individual countries",3,"Percentage of firms identifying electricity as a major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment."
119,"Is there a small claims court or a fast-track procedure for small claims?","Women, Business and the Law","value",42,"","",5,NA
2987,"ICT use in business by location type: proportion of urban businesses with a local area network (LAN)","United Nations Conference on Trade and Development Statistics","value",19,"","Annual, 2003-2014. 19 economies",5,"Core indicators on the use of ICT in business differentiated by urban - rural location"
270,"% of firms using technology licensed from foreign companies","Enterprise Surveys","value",8,"This indicator is computed using data from manufacturing firms only","135 countries; survey date ranges from 2007-2014 for individual countries",4,"Percentage of firms using technology licensed from foreign companies."
3140,"Seed development and certification","Enabling the Business of Agriculture","value",24,NA,"Data collected 2014-2015; one value per indicator. 40 countries.",5,"Laws and regulations that support and promote development, evaluation, and release of improved seed varieties and quality control (0-100)"
2813,"Foreign Direct Investment: Inward flows","United Nations Conference on Trade and Development Statistics","percentage_of_gfcf",19,"","Annual, 1980-2014. ~240 countries, plus regional/income groups",3,"This table contains information on foreign direct investment (FDI) inward and outward flows and stock, expressed in millions of dollars. These figures correspond to the Statistical Annexes of the UNCTAD World Investment Report 2015. The table also presents following indicators: FDI per capita, the percentage share of each economy/group in the world, and percentage ratios of FDI to GDP, percentage ratios of FDI flows to gross fixed capital formation (GFCF), to total merchandise and services trade, and to total merchandise trade."
437,"Total tax rate (% of profit)","Doing Business","value",36,NA,"For 2015/16 reports: 189 countries, 10 subject sub-rankings, 1 overall ranking. Earlier reports going back to 2004 have varying sub indicators and methodologies; may not be comparable",3,"The total tax rate measures the amount of taxes and mandatory contributions borne by the business in the second year of operation, expressed as a share of commercial profit."
2870,"Goods and services (BPM5): Trade balance indicators of services","United Nations Conference on Trade and Development Statistics","normalized_trade_balance",19,"","Annual, 1980-2013. ~235 countries plus regional/income groups",4,"This table shows indicators of trade balances as the following: (i) Normalized trade balance, (ii) Trade balance as percentage of imports, and (iii) Trade balance as a percentage of nominal gross domestic product (GDP)."
2439,"Regional Trade Agreement (RTA) trade in services commitments: Other Services Not Included Elsewhere","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Members' commitments in regional trade agreements notified under Article V of the GATS. Additional notified agreements will be added over forthcoming months. When accessing information on services commitments in regional trade agreements, users need to keep in mind that, in general, the scope and content of services RTAs can differ from GATS in a number of respects, just as the scope and content of services disciplines also differ from one RTA to the other. "
2779,"General government net lending/borrowing","World Economic Outlook","percent_of_gdp",10,NA,"189 countries; updated semiannually in April and Sept/Oct from 1980-2015, plus projections for 2016/7",3,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities."
